Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2019-10-02T11:40:39.444751,21.881,28.89,6.07
2019-10-02T12:00:39.923172,21.954,27.43,5.94
2019-10-02T12:20:39.947856,21.968,28.14,5.80
2019-10-02T12:40:39.335248,22.725,27.33,5.95
2019-10-02T13:00:39.774864,22.267,27.99,5.95
2019-10-02T13:20:39.549760,22.458,28.37,5.98
2019-10-02T13:40:39.489079,22.034,27.59,6.00
2019-10-02T14:00:40.184058,21.973,27.51,5.98
2019-10-02T14:20:39.991194,22.065,27.69,5.87
2019-10-02T14:40:39.486002,22.264,28.84,5.99
2019-10-02T15:00:39.985612,22.072,28.22,5.88
2019-10-02T15:20:40.347094,22.279,26.91,5.80
2019-10-02T15:40:39.959147,22.199,27.45,5.96
2019-10-02T16:00:39.562984,23.261,28.60,5.96
2019-10-02T16:20:40.626629,22.73,24.49,5.26
2019-10-02T16:40:40.076546,22.39,28.37,5.97
2019-10-02T17:00:41.664507,25.493,27.20,5.00
2019-10-02T17:20:39.731315,22.159,24.06,5.92
2019-10-02T17:40:40.490008,27.596,26.79,5.71
2019-10-02T18:00:39.770475,22.403,28.39,6.00
2019-10-02T18:20:39.305835,22.127,28.13,5.53
2019-10-02T18:40:39.782926,23.35,27.53,5.97
2019-10-02T19:00:39.599387,22.121,19.46,5.94
2019-10-02T19:20:39.550557,22.591,25.46,5.72
2019-10-02T19:40:40.132486,22.349,23.96,5.96
2019-10-02T20:00:42.145912,22.42,15.51,5.96
2019-10-02T20:20:40.409078,22.216,28.18,5.99
2019-10-02T20:40:39.906187,23.888,27.50,6.03
2019-10-02T21:00:39.250432,22.368,26.73,6.02
2019-10-02T21:20:39.834436,22.076,28.52,6.01
2019-10-02T21:40:39.292990,23.229,27.08,5.98
2019-10-02T22:00:39.583422,22.235,27.84,5.95
2019-10-02T22:20:39.825420,22.088,27.40,5.93
2019-10-02T22:40:39.359355,21.781,27.27,5.89
2019-10-02T23:00:39.999514,22.193,28.45,5.90
2019-10-02T23:20:39.926296,22.165,28.29,6.05
2019-10-02T23:40:39.444015,22.145,27.90,5.92
2019-10-03T00:00:39.880363,22.007,27.98,5.97
2019-10-03T00:20:39.666034,22.091,28.12,5.99
2019-10-03T00:40:39.675312,22.209,26.55,5.97
2019-10-03T01:00:40.427825,21.847,27.51,5.98
2019-10-03T01:20:40.134755,22.126,26.78,5.99
2019-10-03T01:40:40.779441,23.897,27.19,5.99
2019-10-03T02:00:40.102111,22.249,22.74,5.92
2019-10-03T02:20:39.801770,22.547,23.46,5.93
2019-10-03T02:40:39.244848,22.616,27.96,5.99
2019-10-03T03:00:39.995442,23.766,27.72,5.87
2019-10-03T03:20:40.172206,23.007,28.21,5.68
2019-10-03T03:40:40.252980,22.557,27.53,5.91
2019-10-03T04:00:39.974052,22.971,27.05,5.92
2019-10-03T04:20:40.015791,22.892,27.53,5.94
2019-10-03T04:40:39.494303,24.133,28.27,5.97
2019-10-03T05:00:40.118820,22.855,25.31,6.03
